Company,Category,HQ / Base,Remote Policy,What They Do,Typical Tech Roles,LinkedIn,Careers Page,Website
More remote startups lists are added in the Startup Bundle ,,,,,,,,
,,,,,,,,
Appsmith,DevTools & Open Source,Remote (Bengaluru roots),Remote-first,Open-source low-code platform for building internal tools,"Frontend, Backend, DevRel, Product",https://www.linkedin.com/company/appsmith/,https://www.appsmith.com/careers,https://www.appsmith.com/
Hasura,DevTools & Open Source,Bengaluru / San Francisco,Remote-friendly,Instant GraphQL and data APIs on your databases,"Backend (Haskell/Go), Platform, DevRel",https://www.linkedin.com/company/hasurahq/,https://hasura.io/careers,https://hasura.io/
SigNoz,DevTools & Open Source,Remote (India roots),Remote-first,"Open-source observability - APM, logs, traces (OpenTelemetry native)","Backend (Go), Frontend, SRE, DevRel",https://www.linkedin.com/company/signoz/,https://signoz.io/careers/,https://signoz.io/
ToolJet,DevTools & Open Source,Remote (India roots),Remote-first,Open-source low-code platform for internal apps,"Full-stack (React/Node), DevRel",https://www.linkedin.com/company/tooljet/,https://www.tooljet.com/careers,https://www.tooljet.com/
Hoppscotch,DevTools & Open Source,Remote (Kerala roots),Fully remote,Open-source API development ecosystem (Postman alternative),"Frontend (Vue), Backend, Design",https://www.linkedin.com/company/hoppscotch/,https://hoppscotch.io/,https://hoppscotch.io/
Chatwoot,DevTools & Open Source,Remote (Bengaluru roots),Fully remote,Open-source customer engagement and support platform,"Ruby on Rails, Frontend, Support Eng",https://www.linkedin.com/company/chatwoot/,https://www.chatwoot.com/careers,https://www.chatwoot.com/
Frappe,DevTools & Open Source,Mumbai,Remote-friendly,Open-source ERP (ERPNext) and Frappe framework,"Python, Full-stack, Implementation",https://www.linkedin.com/company/frappetech/,https://frappe.io/careers,https://frappe.io/
Devtron,DevTools & Open Source,Delhi NCR / Remote,Remote-friendly,Open-source Kubernetes-native software delivery platform,"DevOps, Go, Platform Eng",https://www.linkedin.com/company/devtron-labs/,https://devtron.ai/careers.html,https://devtron.ai/
Last9,DevTools & Open Source,Remote (India/US),Remote-first,Managed observability platform for high-cardinality telemetry,"SRE, Backend (Go), Solutions Eng",https://www.linkedin.com/company/last9/,https://last9.io/careers,https://last9.io/
Keploy,DevTools & Open Source,Bengaluru / Remote,Remote-friendly,Open-source API testing with auto-generated test cases and mocks,"Go, Backend, DevRel",https://www.linkedin.com/company/keploy/,https://keploy.io/careers,https://keploy.io/
Requestly,DevTools & Open Source,Remote (India roots),Remote-first,HTTP interception and API mocking for frontend developers (now part of BrowserStack),"Frontend, Browser Extensions",https://www.linkedin.com/company/requestly/,https://requestly.com/careers/,https://requestly.com/
Middleware,DevTools & Open Source,Remote (India/US),Remote-friendly,Cloud-native observability and DORA metrics platform,"Backend, DevOps, Data Eng",https://www.linkedin.com/company/middleware-labs/,https://middleware.io/careers/,https://middleware.io/
Postman,DevTools & Open Source,Bengaluru / San Francisco,Hybrid (remote roles),API platform used by 30M+ developers worldwide,"Backend, Frontend, SDET, PM",https://www.linkedin.com/company/postman-platform/,https://www.postman.com/company/careers/,https://www.postman.com/
RudderStack,Data & Analytics,Remote (India/US),Remote-first,Open-source customer data platform (CDP) - Segment alternative,"Go, Data Eng, Integrations",https://www.linkedin.com/company/rudderstack/,https://www.rudderstack.com/join-us/,https://www.rudderstack.com/
Hevo Data,Data & Analytics,Bengaluru / San Francisco,Remote-friendly,No-code data pipeline platform (ELT) for analytics teams,"Java, Data Eng, Solutions Eng",https://www.linkedin.com/company/hevo-data/,https://hevodata.com/careers/,https://hevodata.com/
Atlan,Data & Analytics,Remote (Delhi NCR roots),Remote-first,Active metadata and data catalog platform for modern data teams,"Backend, Data Eng, Product, DevRel",https://www.linkedin.com/company/atlanhq/,https://atlan.com/careers/,https://atlan.com/
Clarisights,Data & Analytics,Bengaluru / Berlin,Remote-friendly,Marketing intelligence and reporting platform for enterprises,"Backend (Ruby/Go), Data Eng",https://www.linkedin.com/company/clarisights/,https://clarisights.com/careers,https://clarisights.com/
Chargebee,B2B SaaS,Chennai / Remote,Remote-first,Subscription billing and revenue management platform,"Java, Frontend, QA, Product",https://www.linkedin.com/company/chargebee/,https://www.chargebee.com/careers/,https://www.chargebee.com/
BrowserStack,Testing & QA,Mumbai / Dublin,Remote-first,Cloud web and mobile app testing on 3000+ real devices,"SDET, Backend, Infra, Support Eng",https://www.linkedin.com/company/browserstack/,https://www.browserstack.com/careers,https://www.browserstack.com/
Fyle,B2B SaaS,Remote (Bengaluru roots),Remote-first,AI-powered expense management embedded in credit cards,"Python, Frontend (Angular), QA",https://www.linkedin.com/company/fyle/,https://www.fylehq.com/careers,https://www.fylehq.com/
Zluri,B2B SaaS,Bengaluru / US,Remote-friendly,SaaS management and identity governance platform,"Node.js, Frontend, Security Eng",https://www.linkedin.com/company/zluri/,https://www.zluri.com/careers,https://www.zluri.com/
Everstage,B2B SaaS,Chennai / US,Remote-friendly,Sales commission automation platform,"Full-stack, Data, Implementation",https://www.linkedin.com/company/everstage/,https://www.everstage.com/careers,https://www.everstage.com/
Spendflo,B2B SaaS,Chennai / US,Remote-friendly,SaaS buying and spend optimization platform,"Full-stack, Procurement Ops",https://www.linkedin.com/company/spendflo/,https://www.spendflo.com/careers,https://www.spendflo.com/
Rocketlane,B2B SaaS,Chennai / US,Hybrid (remote roles),Client onboarding and professional services automation,"Java, Frontend, Product",https://www.linkedin.com/company/rocketlane/,https://rocketlane.com/careers,https://rocketlane.com/
Hiver,B2B SaaS,Bengaluru,Hybrid (remote roles),Customer service platform built on Gmail,"Backend, Frontend, Support",https://www.linkedin.com/company/hiverhq/,https://hiverhq.com/careers,https://hiverhq.com/
Wingify (VWO),B2B SaaS,Delhi NCR / Remote,Remote-friendly,A/B testing and conversion optimization platform (VWO),"Frontend, Backend, Data Science",https://www.linkedin.com/company/wingify/,https://wingify.com/careers,https://wingify.com/
Sprinto,B2B SaaS,Remote (Bengaluru roots),Fully remote,"Security compliance automation (SOC 2, ISO 27001) for SaaS","Full-stack (Node/React), Security",https://www.linkedin.com/company/sprinto/,https://sprinto.com/careers/,https://sprinto.com/
Scrut Automation,B2B SaaS,Remote (Bengaluru roots),Remote-friendly,GRC and compliance automation platform,"Backend, Security, Product",https://www.linkedin.com/company/scrut-automation/,https://www.scrut.io/careers,https://www.scrut.io/
Astra Security,B2B SaaS,Remote (Delhi NCR roots),Fully remote,Pentesting-as-a-service and vulnerability scanning platform,"Security Eng, Full-stack, Pentesters",https://www.linkedin.com/company/getastra/,https://www.getastra.com/careers,https://www.getastra.com/
SuperOps,B2B SaaS,Chennai / Remote,Remote-friendly,AI-powered PSA-RMM platform for MSPs,"Java, Frontend, QA",https://www.linkedin.com/company/superops/,https://superops.com/careers,https://superops.com/
