,Indian Startups Hiring Freshers for Data Science / ML / AI Roles - 2026,,,,,,,,
Company,Tier / Category,HQ Location,Focus Area,Careers Portal,LinkedIn,Website,Contact / Notes,Fresher Fit,Est. Fresher CTC (INR)
,,,,,,,,,
,,,Get the Ultimate Startup Bundle with Career Portal Links & Job Openings,,,,,,
,,,,,,,,,
Sarvam AI,Tier 1 - Foundational AI,Bengaluru,"Sovereign LLMs, Indic language GenAI (Sarvam-30B, 105B)",https://www.sarvam.ai/careers,https://www.linkedin.com/company/sarvam-ai,https://www.sarvam.ai,careers@sarvam.ai ; also careers.kula.ai/sarvam-ai,"ML Eng (Speech AI), Forward Deployed Eng (RAG/ML), Backend - strong portfolios",15-30L + ESOPs
Krutrim,Tier 1 - Foundational AI,Bengaluru,Full-stack AI: LLMs + Bodhi AI chip + cloud (Ola group),https://www.olakrutrim.com/careers,https://www.linkedin.com/company/krutrim,https://www.olakrutrim.com,Planning 100+ AI engineering hires through 2026,"ML Engineer, AI Infra, LLM Engineer roles",12-30L + ESOPs
AI4Bharat,Tier 1 - Research Lab,Chennai (IIT Madras),Open-source Indic language research; talent nursery,https://ai4bharat.iitm.ac.in,https://www.linkedin.com/company/ai4bharat,https://ai4bharat.iitm.ac.in,Research internships -> FT conversions,Research Engineer / Intern roles for strong students,Stipend + research credit
Neysa,Tier 1 - AI Infrastructure,Mumbai,"AI-first cloud infrastructure (unicorn, ~$1.4B)",https://www.neysa.ai/careers,https://www.linkedin.com/company/neysa-networks,https://www.neysa.ai,MLOps / AI Infra heavy,"MLOps Engineer, Platform Engineer",12-25L
Qure.ai,Tier 2 - Applied AI,Mumbai,Medical imaging AI; 3000+ sites globally,https://jobs.qure.ai,https://www.linkedin.com/company/qure-ai,https://www.qure.ai,Deep learning for radiology; CV/ML roles,"ML Engineer, Data Scientist (healthcare)",10-20L
Yellow.ai,Tier 2 - Applied AI,Bengaluru,Conversational/agent AI for enterprises,https://yellow.ai/careers,https://www.linkedin.com/company/yellowdotai,https://yellow.ai,NLP / LLM / Conversational AI,"ML Engineer, NLP Engineer",10-18L
Haptik (Jio Haptik),Tier 2 - Applied AI,Mumbai,Conversational AI; one of India's oldest in space,https://www.haptik.ai/careers,https://www.linkedin.com/company/haptik,https://www.haptik.ai,Backed by Reliance Jio,"Data Scientist, NLP Engineer",8-16L
Gnani.ai,Tier 2 - Applied AI,Bengaluru,"Voice AI, speech recognition for BFSI/customer ops",https://gnani.ai/careers,https://www.linkedin.com/company/gnani-ai,https://gnani.ai,Speech / ASR / NLP heavy,"Speech ML Engineer, Data Scientist",8-18L
Observe.AI,Tier 2 - Applied AI,Bengaluru / SF,Contact-center intelligence (speech + NLP),https://www.observe.ai/careers,https://www.linkedin.com/company/observeai,https://www.observe.ai,US-India hybrid culture,"ML Engineer, Applied Scientist",12-22L
Mad Street Den (Vue.ai),Tier 2 - Applied AI,Chennai,Computer vision for retail,https://www.madstreetden.com/careers,https://www.linkedin.com/company/mad-street-den,https://www.madstreetden.com,Pioneer in CV-for-retail,"Computer Vision Engineer, ML Engineer",10-18L
Netomi,Tier 2 - Applied AI,Gurugram,Customer-service AI,https://www.netomi.com/careers,https://www.linkedin.com/company/netomi,https://www.netomi.com,Explicit fresher Data Scientist roles on Wellfound,"Junior Data Scientist, ML Engineer",8-15L
Niramai,Tier 2 - Applied AI,Bengaluru,AI-based breast cancer screening,https://www.niramai.com/careers,https://www.linkedin.com/company/niramai,https://www.niramai.com,"Healthcare AI, CV-heavy","ML Engineer, Data Scientist",8-15L
SigTuple,Tier 2 - Applied AI,Bengaluru,AI for medical diagnostics (blood smear analysis),https://sigtuple.com/careers,https://www.linkedin.com/company/sigtuple,https://sigtuple.com,Deep learning for pathology,"Computer Vision, ML Engineer",8-15L
Arya.ai,Tier 2 - Applied AI,Mumbai,Financial AI / decision intelligence,https://arya.ai/careers,https://www.linkedin.com/company/arya-ai,https://arya.ai,BFSI-focused,"ML Engineer, Data Scientist",8-15L
Bolna,Tier 2 - Applied AI,Bengaluru,Voice AI agents,https://www.bolna.ai/careers,https://www.linkedin.com/company/bolna-ai,https://www.bolna.ai,"Early stage, fast moving","AI Engineer, Voice ML",10-20L + ESOPs
Fractal Analytics,Tier 3 - Decision Science,Mumbai / Bengaluru,Enterprise AI & decision science (~$1.6B valuation),https://fractal.ai/careers,https://www.linkedin.com/company/fractal-analytics,https://fractal.ai,Most fresher-friendly large analytics firm,"Analyst, Decision Scientist programs",6-12L
Tiger Analytics,Tier 3 - Decision Science,Chennai / Bengaluru,Advanced analytics & AI consulting,https://www.tigeranalytics.com/about-us/current-openings/,https://www.linkedin.com/company/tiger-analytics,https://www.tigeranalytics.com,Heavy fresher hiring,"Analyst, Data Scientist",6-12L
