Indian Robotics Startups — Database,,,,,,,,,
"101 companies across warehouse/AMR, drones & UAVs, surgical & medical, agritech, underwater/inspection, defence, service and consumer robotics  |  Compiled Jun 2026",,,,,,,,,
How to use: The Website column is the primary verified anchor for each company. LinkedIn = linkedin.com/company/<slug>; Careers = website + /careers (the most common pattern).,,,,,,,,,
"Most startups also post roles on LinkedIn Jobs and Wellfound (wellfound.com). If a /careers path 404s, try /careers/, /jobs, or the company's LinkedIn 'Jobs' tab.",,,,,,,,,
"Rows flagged 'Verify domain' in Notes: company is real but the exact domain/slug should be confirmed before bulk use. Excludes MNC India arms (FANUC, ABB, Medtronic, Intuitive) and PSUs (HAL, DRDO).",,,,,,,,,
,,,,,,,,,
 Get the Startup Bundle for more lists,,,,,,,,,
,,,,,,,,,
#,Company,Category,HQ City,Founded,What they do,Website,LinkedIn,Careers Page,Notes
1,GreyOrange,Warehouse robotics / AMR,Gurugram,2011,"AI warehouse automation, Butler & Ranger robot fleets, fulfilment orchestration",https://greyorange.com,https://www.linkedin.com/company/greyorange,https://greyorange.com/careers,
2,Addverb Technologies,Warehouse automation / AMR,Noida,2016,"Mobile robots, sorters, ASRS & software; backed by Reliance",https://addverb.com,https://www.linkedin.com/company/addverb-technologies,https://addverb.com/careers,
3,Ati Motors,Autonomous industrial vehicles,Bengaluru,2017,Sherpa autonomous cargo robots & mobile manipulators for factories,https://atimotors.com,https://www.linkedin.com/company/ati-motors,https://atimotors.com/careers,
4,Unbox Robotics,Logistics / sorting robots,Pune,2019,AI-powered parcel sortation robots for e-commerce & 3PL,https://unboxrobotics.com,https://www.linkedin.com/company/unbox-robotics,https://unboxrobotics.com/careers,
5,Svaya Robotics,Cobots / humanoids,Hyderabad,2018,Collaborative robots and humanoid platforms designed in India,https://svayarobotics.com,https://www.linkedin.com/company/svaya-robotics,https://svayarobotics.com/careers,
6,Systemantics India,Industrial robot arms / cobots,Bengaluru,2014,Indigenous articulated industrial robots & cobots for MSMEs,https://systemantics.com,https://www.linkedin.com/company/systemantics,https://systemantics.com/careers,
7,Novus Hi-Tech (Hi-Tech Robotic Systemz),AMR / autonomous systems,Gurugram,2004,"Autonomous mobile robots, ADAS and autonomous shuttle systems",https://novushi-tech.in,https://www.linkedin.com/company/novus-hi-tech,https://novushi-tech.in/careers,Verify domain
8,Anscer Robotics,Autonomous mobile robots,Bengaluru,2020,Modular AMRs & pallet movers for warehouses and factories,https://anscer.com,https://www.linkedin.com/company/anscer-robotics,https://anscer.com/careers,
9,Peer Robotics,Collaborative mobile robots,New Delhi,2019,Force-sensing collaborative mobile robots for plant logistics,https://peerrobotics.ai,https://www.linkedin.com/company/peer-robotics,https://peerrobotics.ai/careers,
10,Rapyuta Robotics,Cloud robotics / pick-assist,Bengaluru,2014,Cloud-connected pick-assist & forklift AMRs (India arm of Tokyo HQ),https://rapyuta-robotics.com,https://www.linkedin.com/company/rapyuta-robotics,https://rapyuta-robotics.com/careers,
11,DiFACTO Robotics & Automation,Industrial robotics integration,Bengaluru,2007,"Turnkey robotic welding, machine tending & automation cells",https://difacto.com,https://www.linkedin.com/company/difacto-robotics-automation,https://difacto.com/careers,
12,Falcon Autotech,Warehouse automation,Noida,2012,"Conveyor, sortation & robotic intralogistics systems",https://falconautotech.com,https://www.linkedin.com/company/falcon-autotech,https://falconautotech.com/careers,
13,Botsync,Autonomous mobile robots,Bengaluru,2017,AMRs and orchestration software for factories & warehouses,https://botsync.co,https://www.linkedin.com/company/botsync,https://botsync.co/careers,
14,Peppermint Robotics,Cleaning robots,Pune,2019,Autonomous commercial & industrial floor-cleaning robots,https://peppermintrobots.com,https://www.linkedin.com/company/peppermint-robots,https://peppermintrobots.com/careers,
15,CynLr (Cynapse Labs),Vision robotics / manipulation,Bengaluru,2019,Visually-intelligent robotic arms for object manipulation,https://cynlr.com,https://www.linkedin.com/company/cynlr,https://cynlr.com/careers,
16,Ottonomy.io,Autonomous delivery robots,Gurugram,2020,Fully autonomous last-mile & indoor delivery robots,https://ottonomy.io,https://www.linkedin.com/company/ottonomy,https://ottonomy.io/careers,
17,Accio Robotics,Warehouse fulfilment robots,Bengaluru,2021,Goods-to-person & sortation robots for fulfilment centres,https://acciorobotics.com,https://www.linkedin.com/company/accio-robotics,https://acciorobotics.com/careers,Verify domain
18,Milagrow Robots,Consumer / domestic robots,Gurugram,2010,"Floor & glass cleaning robots, consumer service robots",https://milagrow.in,https://www.linkedin.com/company/milagrow-humantech,https://milagrow.in/careers,
19,Sastra Robotics,Robotic test automation,Kochi,2014,Robotic arms for automated testing of electronics & HMIs,https://sastrarobotics.com,https://www.linkedin.com/company/sastra-robotics,https://sastrarobotics.com/careers,
20,Gridbots Technologies,Robotics / machine vision,Ahmedabad,2007,"Defence, inspection & machine-vision robots",https://gridbots.com,https://www.linkedin.com/company/gridbots-technologies,https://gridbots.com/careers,
21,Sirena Technologies,Robotics & automation,Bengaluru,2012,"Robotics design, prototyping and automation solutions",https://sirenatech.in,https://www.linkedin.com/company/sirena-technologies,https://sirenatech.in/careers,Verify domain
22,Asimov Robotics,Service / humanoid robots,Kochi,2012,"Humanoid & service robots for healthcare, education, industry",https://asimovrobotics.com,https://www.linkedin.com/company/asimov-robotics,https://asimovrobotics.com/careers,
23,Invento Robotics,Service robots (Mitra),Bengaluru,2016,Mitra humanoid service robots for enterprises & healthcare,https://inventorobotics.com,https://www.linkedin.com/company/invento-robotics,https://inventorobotics.com/careers,
24,Emotix (Miko),Consumer companion robots,Mumbai,2015,Miko AI companion robots for children,https://miko.ai,https://www.linkedin.com/company/miko-ai,https://miko.ai/careers,
25,Club First,Humanoid & education robots,Jaipur,2004,Humanoid robots (Robo series) & robotics education,https://clubfirst.org,https://www.linkedin.com/company/club-first,https://clubfirst.org/careers,
26,Genrobotics,Sanitation robots,Thiruvananthapuram,2017,Bandicoot manhole-cleaning robot replacing manual scavenging,https://genrobotics.org,https://www.linkedin.com/company/genrobotics,https://genrobotics.org/careers,
27,Nocca Robotics,Cleantech / cleaning robots,Pune,2017,Solar-panel cleaning robots and cleantech automation,https://noccarobotics.com,https://www.linkedin.com/company/nocca-robotics,https://noccarobotics.com/careers,
28,Skilancer Solar,Solar cleaning robots,Noida,2018,Autonomous waterless solar-panel cleaning robots,https://skilancersolar.com,https://www.linkedin.com/company/skilancer-solar,https://skilancersolar.com/careers,
29,Taypro,Solar cleaning robots,Pune,2019,Robotic dry-cleaning systems for utility-scale solar plants,https://taypro.in,https://www.linkedin.com/company/taypro,https://taypro.in/careers,
30,Mukunda Foods,Kitchen automation robots,Bengaluru,2012,Automated cooking robots & food-tech kitchen automation,https://mukundafoods.com,https://www.linkedin.com/company/mukunda-foods,https://mukundafoods.com/careers,
31,Euphotic Labs (Nosh),Kitchen automation robots,Bengaluru,2019,Nosh AI home cooking robot,https://nosh.cooking,https://www.linkedin.com/company/euphotic-labs,https://nosh.cooking/careers,
32,Sea6 Energy,Ocean-farming robotics,Bengaluru,2010,Sea Combine ocean-farming robots for seaweed cultivation,https://sea6energy.com,https://www.linkedin.com/company/sea6-energy,https://sea6energy.com/careers,
33,Niqo Robotics (ex-TartanSense),Agritech robotics,Bengaluru,2015,AI precision spot-spraying & weeding agricultural robots,https://niqorobotics.com,https://www.linkedin.com/company/niqorobotics,https://niqorobotics.com/careers,
34,General Aeronautics,Agri & inspection drones,Bengaluru,2019,Agri-drones & autonomous aerial crop solutions,https://generalaeronautics.com,https://www.linkedin.com/company/general-aeronautics,https://generalaeronautics.com/careers,
35,Marut Drones,Agri & utility drones,Hyderabad,2019,"Agriculture, seeding & utility drones",https://marutdrones.com,https://www.linkedin.com/company/marut-drones,https://marutdrones.com/careers,
36,SS Innovations International,Surgical robotics,Gurugram,2015,SSi Mantra surgical robotic system for minimally invasive surgery,https://ssinnovations.com,https://www.linkedin.com/company/ss-innovations,https://ssinnovations.com/careers,
37,Makers Hive,Bionic prosthetics,Hyderabad,2018,KalArm bionic prosthetic hand,https://makershive.com,https://www.linkedin.com/company/makers-hive,https://makershive.com/careers,
38,Astrek Innovations,Wearable rehab robotics,Kochi,2017,Lower-limb wearable robotic exosuits for rehabilitation,https://astrekinnovations.com,https://www.linkedin.com/company/astrek-innovations,https://astrekinnovations.com/careers,
39,Comofi Medtech,Surgical robotics,Bengaluru,2018,Robotic systems for surgical navigation & assistance,https://comofimedtech.com,https://www.linkedin.com/company/comofi-medtech,https://comofimedtech.com/careers,
40,Bionic Yantra,Robotic rehabilitation,Bengaluru,2016,Robotic gait & rehabilitation training systems,https://bionicyantra.com,https://www.linkedin.com/company/bionic-yantra,https://bionicyantra.com/careers,
41,Perfint Healthcare,Interventional robotics,Chennai,2005,Robotic positioning systems for interventional oncology/radiology,https://perfinthealthcare.com,https://www.linkedin.com/company/perfint-healthcare,https://perfinthealthcare.com/careers,
42,Symbionic,Bionic prosthetics,Mumbai,2019,Affordable bionic prosthetic limbs,https://symbionic.in,https://www.linkedin.com/company/symbionic,https://symbionic.in/careers,Verify domain
43,Planys Technologies,Underwater inspection ROVs,Chennai,2015,Remotely-operated vehicles for underwater asset inspection,https://planystech.com,https://www.linkedin.com/company/planys-technologies,https://planystech.com/careers,
44,EyeROV (IROV Technologies),Underwater inspection ROVs,Kochi,2016,EyeROV TUNA underwater inspection robots,https://eyerov.com,https://www.linkedin.com/company/eyerov,https://eyerov.com/careers,
45,DeTect Technologies,Industrial inspection robots,Chennai,2016,Robotic & IoT industrial asset-integrity inspection,https://detecttechnologies.com,https://www.linkedin.com/company/detect-technologies,https://detecttechnologies.com/careers,
46,Robosoft Systems,Inspection / cleaning robots,Mumbai,2009,"Duct, HVAC & pipe inspection and cleaning robots",https://robosoftsystems.co.in,https://www.linkedin.com/company/robosoft-systems,https://robosoftsystems.co.in/careers,
47,ideaForge Technology,UAVs / defence drones,Mumbai,2007,"Tactical surveillance & mapping UAVs (NETRA, Q-series)",https://ideaforge.co.in,https://www.linkedin.com/company/ideaforge,https://ideaforge.co.in/careers,
48,Newspace Research & Technologies,Advanced UAVs / swarms,Bengaluru,2017,High-altitude UAVs and swarm drone systems for defence,https://newspaceresearch.com,https://www.linkedin.com/company/newspace-research-technologies,https://newspaceresearch.com/careers,
49,Raphe mPhibr,Defence drones,Noida,2017,Military UAVs & loitering systems; one of India's best-funded drone firms,https://raphemphibr.com,https://www.linkedin.com/company/raphe-mphibr,https://raphemphibr.com/careers,
50,Dhaksha Unmanned Systems,Defence / agri drones,Chennai,2019,"Delivery, swarm & long-range surveillance drones",https://dhaksha.com,https://www.linkedin.com/company/dhaksha-unmanned-systems,https://dhaksha.com/careers,Verify domain
51,Sagar Defence Engineering,Marine & defence robotics,Pune,2015,Autonomous boats & marine/defence robotic systems,https://sagardefence.com,https://www.linkedin.com/company/sagar-defence-engineering,https://sagardefence.com/careers,
52,Big Bang Boom Solutions,Defence robotics,Chennai,2018,"Anti-drone systems, defence robotics & smart armour",https://bigbangboomsolutions.com,https://www.linkedin.com/company/big-bang-boom-solutions,https://bigbangboomsolutions.com/careers,
53,Aerobotics7,Defence robotics,Hyderabad,2019,Anti-drone & autonomous defence robots (NavyBots),https://aerobotics7.com,https://www.linkedin.com/company/aerobotics7,https://aerobotics7.com/careers,Verify domain
54,Grene Robotics,Counter-drone systems,Hyderabad,2008,Indrajaal autonomous wide-area counter-drone defence,https://grene.in,https://www.linkedin.com/company/grene-robotics,https://grene.in/careers,
55,Cron Systems,Border-security robotics,Gurugram,2015,LiDAR & robotic intrusion-detection for border security,https://cronsystems.com,https://www.linkedin.com/company/cron-systems,https://cronsystems.com/careers,
56,Zuppa Geo Navigation,Drone autopilot / defence,Chennai,2014,Indigenous drone autopilots & defence UAV electronics,https://zuppa.io,https://www.linkedin.com/company/zuppa,https://zuppa.io/careers,
57,Aurora Integrated Systems,Defence drones,Bengaluru,2016,Surveillance & tactical UAV systems,https://aurora-is.com,https://www.linkedin.com/company/aurora-integrated-systems,https://aurora-is.com/careers,Verify domain
58,Garuda Aerospace,Drone-as-a-service,Chennai,2015,"50+ drone models for agriculture, mapping, defence & inspection",https://garudaaerospace.com,https://www.linkedin.com/company/garuda-aerospace,https://garudaaerospace.com/careers,
59,Asteria Aerospace,UAVs / mapping,Bengaluru,2011,Defence & enterprise UAVs and SkyDeck data platform (Reliance/Jio),https://asteria.co.in,https://www.linkedin.com/company/asteria-aerospace,https://asteria.co.in/careers,
60,Aereo (Aarav Unmanned Systems),Drone mapping & analytics,Bengaluru,2013,End-to-end drone surveying & geospatial analytics,https://aereo.io,https://www.linkedin.com/company/aereo-india,https://aereo.io/careers,
61,Skylark Drones,Drone data platform,Bengaluru,2014,"Drone-based data & analytics for mining, infra & agri",https://skylarkdrones.com,https://www.linkedin.com/company/skylark-drones,https://skylarkdrones.com/careers,
62,Throttle Aerospace Systems,UAV manufacturing,Bengaluru,2016,"Mapping, cargo & inspection drones; DGCA pilot training",https://throttleaerospace.com,https://www.linkedin.com/company/throttle-aerospace-systems,https://throttleaerospace.com/careers,
63,Redwing Labs,Drone delivery / logistics,Bengaluru,2018,Medical & essential-goods drone delivery for remote areas,https://redwinglabs.com,https://www.linkedin.com/company/redwing-labs,https://redwinglabs.com/careers,Verify domain
64,Tech Eagle,Drone delivery logistics,Bengaluru,2015,Long-range drone-delivery network (Vertiplane),https://techeagle.org,https://www.linkedin.com/company/tech-eagle,https://techeagle.org/careers,
65,Paras Aerospace,Drone solutions,Navi Mumbai,2018,Drone manufacturing & DaaS for survey/inspection,https://parasaerospace.com,https://www.linkedin.com/company/paras-aerospace,https://parasaerospace.com/careers,
66,Scandron,Drone manufacturing,Pune,2021,Heavy-lift & logistics drones (Zuppa group),https://scandron.com,https://www.linkedin.com/company/scandron,https://scandron.com/careers,
67,UrbanMatrix Technologies,Industrial drones,Bengaluru,2018,Industrial inspection & surveillance drones,https://urbanmatrix.co.in,https://www.linkedin.com/company/urbanmatrix-technologies,https://urbanmatrix.co.in/careers,
68,IoTechWorld Avigation,Agriculture drones,Gurugram,2017,Agri-spraying drones (Agribot),https://iotechworld.com,https://www.linkedin.com/company/iotechworld-avigation,https://iotechworld.com/careers,
69,Indrones Solutions,Drone inspection & data,Mumbai,2016,"Drone-based inspection, survey & analytics",https://indrones.com,https://www.linkedin.com/company/indrones,https://indrones.com/careers,
70,DroneAcharya Aerial Innovations,Drone services & training,Pune,2017,"Drone services, GIS data processing & pilot training (listed)",https://droneacharya.com,https://www.linkedin.com/company/droneacharya,https://droneacharya.com/careers,
71,BonV Aero,Heavy-payload logistics drones,Gwalior,2021,Heavy-lift logistics & cargo UAVs for tough terrain,https://bonvaero.com,https://www.linkedin.com/company/bonv-aero,https://bonvaero.com/careers,
